timestamp,trigger_id,camera,shell_index,class,confidence,bbox,capture_ms,processing_ms,raw_path,annotated_path
2026-09-10T11:24:32,20260910_112416_0058,CAM_1,0,good,0.8416,"(1493, 837, 174, 215)",220.19,128.47,outputs/camera_captures\20260910_112416_0058_CAM_1_raw.png,outputs/camera_captures\20260910_112416_0058_CAM_1_annotated.png
2026-09-10T11:24:32,20260910_112416_0058,CAM_2,0,bad,0.6038,"(1644, 1626, 237, 346)",363.53,213.15,outputs/camera_captures\20260910_112416_0058_CAM_2_raw.png,outputs/camera_captures\20260910_112416_0058_CAM_2_annotated.png
2026-09-10T11:28:49,20260910_112842_0073,CAM_1,0,good,0.9344,"(1460, 617, 194, 185)",220.22,136.08,outputs/camera_captures\20260910_112842_0073_CAM_1_raw.png,outputs/camera_captures\20260910_112842_0073_CAM_1_annotated.png
2026-09-10T11:28:49,20260910_112842_0073,CAM_2,0,good,0.5025,"(1522, 1261, 304, 304)",369.31,223.24,outputs/camera_captures\20260910_112842_0073_CAM_2_raw.png,outputs/camera_captures\20260910_112842_0073_CAM_2_annotated.png
2026-09-10T11:28:49,20260910_112842_0073,CAM_2,1,good,0.5119,"(1660, 1268, 165, 274)",369.31,223.24,outputs/camera_captures\20260910_112842_0073_CAM_2_raw.png,outputs/camera_captures\20260910_112842_0073_CAM_2_annotated.png
2026-09-10T12:22:59,20260910_122254_0002,CAM_1,0,good,0.8829,"(1343, 402, 234, 223)",226.63,130.28,outputs/camera_captures\20260910_122254_0002_CAM_1_raw.png,outputs/camera_captures\20260910_122254_0002_CAM_1_annotated.png
2026-09-10T12:22:59,20260910_122254_0002,CAM_2,0,bad,0.5978,"(1364, 951, 341, 353)",373.13,244.02,outputs/camera_captures\20260910_122254_0002_CAM_2_raw.png,outputs/camera_captures\20260910_122254_0002_CAM_2_annotated.png
2026-09-10T12:22:59,20260910_122254_0002,CAM_2,1,bad,0.6304,"(1571, 957, 123, 189)",373.13,244.02,outputs/camera_captures\20260910_122254_0002_CAM_2_raw.png,outputs/camera_captures\20260910_122254_0002_CAM_2_annotated.png
2026-09-10T12:22:59,20260910_122254_0002,CAM_2,2,good,0.7805,"(1465, 1185, 114, 90)",373.13,244.02,outputs/camera_captures\20260910_122254_0002_CAM_2_raw.png,outputs/camera_captures\20260910_122254_0002_CAM_2_annotated.png
2026-09-10T12:23:11,20260910_122307_0003,CAM_1,0,good,0.7631,"(1324, 416, 229, 266)",217.34,100.57,outputs/camera_captures\20260910_122307_0003_CAM_1_raw.png,outputs/camera_captures\20260910_122307_0003_CAM_1_annotated.png
2026-09-10T12:23:11,20260910_122307_0003,CAM_2,0,bad,0.581,"(1340, 1012, 304, 328)",368.6,246.88,outputs/camera_captures\20260910_122307_0003_CAM_2_raw.png,outputs/camera_captures\20260910_122307_0003_CAM_2_annotated.png
2026-09-10T12:23:11,20260910_122307_0003,CAM_2,1,good,0.5669,"(1439, 1100, 180, 208)",368.6,246.88,outputs/camera_captures\20260910_122307_0003_CAM_2_raw.png,outputs/camera_captures\20260910_122307_0003_CAM_2_annotated.png
2026-09-10T13:38:19,20260910_133805_0024,CAM_1,0,good,0.7969,"(1308, 601, 193, 280)",217.61,98.21,outputs/camera_captures\20260910_133805_0024_CAM_1_raw.png,outputs/camera_captures\20260910_133805_0024_CAM_1_annotated.png
2026-09-10T13:38:19,20260910_133805_0024,CAM_2,0,bad,0.6797,"(1285, 1304, 304, 370)",359.36,216.58,outputs/camera_captures\20260910_133805_0024_CAM_2_raw.png,outputs/camera_captures\20260910_133805_0024_CAM_2_annotated.png
2026-09-10T13:38:19,20260910_133805_0024,CAM_2,1,bad,0.6488,"(1396, 1358, 192, 249)",359.36,216.58,outputs/camera_captures\20260910_133805_0024_CAM_2_raw.png,outputs/camera_captures\20260910_133805_0024_CAM_2_annotated.png
